upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class
41,36,215.42313370782745,218.11501008913706,11,11,3.898656914869491e-08,8.242851683342134e-07,21.14279831062813,1.3251624669088373,"[23, 24]","[19, 23]","[4, 3]","[2, 4]",4.363310405480171,2.172092137061366,True,transition
42,36,198.4369214581485,218.11501008913706,10,11,7.864710020492065e-06,8.242851683342134e-07,0.1048080814405718,-0.9796052289006659,"[23, 30]","[19, 23]","[4, 4]","[2, 4]",4.338554619088921,2.172092137061366,True,transition
36,43,218.11501008913706,222.11178057308143,11,11,8.242851683342134e-07,1.2104603311558495e-06,1.4684970416270526,0.16687307594813428,"[19, 23]","[23, 140]","[2, 4]","[4, 2]",2.172092137061366,3.8572226448320066,True,transition
37,55,504.52088377606094,527.7407307470618,23,24,1.9914953585996046e-08,1.2320992780670132e-08,0.6186804667892425,-0.20853359547112774,"[20, 29]","[29, 34]","[2, 2]","[2, 3]",3.0624038013434998,3.387756131141508,True,transition
38,63,413.871328680247,435.9208484869197,19,20,1.0024429835491627e-07,6.245394985060004e-08,0.6230174770587051,-0.20549977022093716,"[21, 33]","[33, 37]","[2, 3]","[3, 3]",2.946444660701175,2.142496909328244,True,transition
38,64,413.871328680247,430.6550375273261,19,20,1.0024429835491627e-07,6.222163883789481e-09,0.06207000284205519,-1.2071182347291696,"[21, 33]","[33, 124]","[2, 3]","[3, 3]",2.946444660701175,3.3924663837018194,True,transition
40,39,471.5215088989586,482.9316681520738,22,22,1.190212724005262e-08,1.9927213831532352e-08,1.674256494626775,0.22382199228798402,"[22, 56]","[22, 27]","[4, 3]","[4, 3]",2.773573073633745,2.083208790941619,True,transition
39,51,482.9316681520738,503.28314036616075,22,23,1.9927213831532352e-08,1.8493949061820253e-08,0.928075004271589,-0.03241692396974775,"[22, 27]","[27, 28]","[4, 3]","[3, 3]",2.083208790941619,2.7031208661412585,True,transition
39,52,482.9316681520738,506.75258560129174,22,23,1.9927213831532352e-08,2.3486472781220047e-09,0.11786129751895173,-0.9286287821258253,"[22, 27]","[27, 36]","[4, 3]","[3, 4]",2.083208790941619,5.571825385997279,True,transition
40,109,471.5215088989586,482.15450600985736,22,22,1.190212724005262e-08,4.640432727101723e-09,0.3898826347180949,-0.4090661077565056,"[22, 56]","[56, 102]","[4, 3]","[3, 3]",2.773573073633745,3.0219493959359838,True,transition
42,41,198.4369214581485,215.42313370782745,10,11,7.864710020492065e-06,3.898656914869491e-08,0.004957152780854299,-2.304767695809503,"[23, 30]","[23, 24]","[4, 4]","[4, 3]",4.338554619088921,4.363310405480171,True,transition
41,43,215.42313370782745,222.11178057308143,11,11,3.898656914869491e-08,1.2104603311558495e-06,31.04813677087485,1.4920355428569714,"[23, 24]","[23, 140]","[4, 3]","[4, 2]",4.363310405480171,3.8572226448320066,True,transition
41,44,215.42313370782745,239.38374467880135,11,12,3.898656914869491e-08,5.0022408234513996e-08,1.2830677160569928,0.1082495776016062,"[23, 24]","[24, 25]","[4, 3]","[3, 2]",4.363310405480171,3.670366039798033,True,transition
41,45,215.42313370782745,234.251910883412,11,12,3.898656914869491e-08,1.6748226114780775e-06,42.958963767504095,1.6330537970052192,"[23, 24]","[24, 175]","[4, 3]","[3, 2]",4.363310405480171,2.7324634271368318,True,transition
42,43,198.4369214581485,222.11178057308143,10,11,7.864710020492065e-06,1.2104603311558495e-06,0.15391035753408688,-0.8127321529525317,"[23, 30]","[23, 140]","[4, 4]","[4, 2]",4.338554619088921,3.8572226448320066,True,transition
56,42,196.94987026791566,198.4369214581485,10,10,9.473361720907254e-08,7.864710020492065e-06,83.019209570928,1.9191785941277995,"[30, 41]","[23, 30]","[4, 4]","[4, 4]",4.301697678171163,4.338554619088921,True,transition
57,42,188.672340960881,198.4369214581485,10,10,1.0453706648412108e-05,7.864710020492065e-06,0.7523369733822304,-0.1235875943800588,"[30, 78]","[23, 30]","[4, 4]","[4, 4]",2.517554995865815,4.338554619088921,True,transition
58,42,176.78591842210716,198.4369214581485,9,10,5.855170958490722e-05,7.864710020492065e-06,0.13432075811701558,-0.8718568656705783,"[30, 90]","[23, 30]","[4, 4]","[4, 4]",1.8408983096198064,4.338554619088921,True,transition
43,222,222.11178057308143,240.94055774866598,11,12,1.2104603311558495e-06,3.245454519497976e-08,0.026811737947652875,-1.5716750339614567,"[23, 140]","[140, 175]","[4, 2]","[2, 2]",3.8572226448320066,2.5400950711624866,True,transition
45,44,234.251910883412,239.38374467880135,12,12,1.6748226114780775e-06,5.0022408234513996e-08,0.029867287372223755,-1.524804219403613,"[24, 175]","[24, 25]","[3, 2]","[3, 2]",2.7324634271368318,3.670366039798033,True,transition
44,46,239.38374467880135,262.9529636170626,12,13,5.0022408234513996e-08,2.791339259616783e-07,5.5801776806316195,0.7466480276991035,"[24, 25]","[25, 26]","[3, 2]","[2, 5]",3.670366039798033,3.6645421000801477,True,transition
45,222,234.251910883412,240.94055774866598,12,12,1.6748226114780775e-06,3.245454519497976e-08,0.019377900066883932,-1.7126932881097043,"[24, 175]","[140, 175]","[3, 2]","[2, 2]",2.7324634271368318,2.5400950711624866,True,transition
46,47,262.9529636170626,286.77401649018276,13,14,2.791339259616783e-07,4.743773163187373e-08,0.16994613416638704,-0.7696887100412119,"[25, 26]","[26, 32]","[2, 5]","[5, 4]",3.6645421000801477,4.1802935742350265,True,transition
